City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Le Vauclin,MQ,2021-09-20 00:23:53,14.5452,-60.8388,82.45,69,0,4.61
248,Ambilobe,MG,2021-09-20 00:23:53,-13.2,49.05,73.08,72,92,5.35
249,Bonavista,CA,2021-09-20 00:23:53,48.6499,-53.1147,56.12,97,100,21.36
250,Curuca,BR,2021-09-20 00:23:54,-0.7289,-47.8481,74.59,90,76,4.61
251,Bousse,BF,2021-09-20 00:23:54,12.6606,-1.8922,80.17,65,19,8.84
252,Port-Cartier,CA,2021-09-20 00:23:54,50.0334,-66.8654,52.75,69,31,4.7
253,Nguruka,TZ,2021-09-20 00:23:54,-5.1092,31.0419,70.03,45,98,2.33
254,Eyl,SO,2021-09-20 00:23:55,7.9803,49.8164,77.9,74,79,15.99
255,Molteno,ZA,2021-09-20 00:23:55,-31.3968,26.3625,51.06,20,33,3.31
256,Mehamn,NO,2021-09-20 00:23:55,71.0357,27.8492,44.24,71,100,13.11
257,Ancud,CL,2021-09-20 00:23:55,-41.8697,-73.8203,48.42,87,27,6.62
258,Victoria,HK,2021-09-20 00:23:56,22.2855,114.1577,87.96,86,33,1.01
259,Tartagal,AR,2021-09-20 00:23:56,-22.5164,-63.8013,92.16,22,62,13.98
260,Bredy,RU,2021-09-20 00:23:56,52.4153,60.3411,32.4,83,25,6.17
261,Kapuskasing,CA,2021-09-20 00:23:56,49.4169,-82.4331,68.09,52,75,11.5
262,Adrar,MR,2021-09-20 00:23:57,20.5022,-10.0711,90.59,25,5,22.93
263,Conceicao Do Araguaia,BR,2021-09-20 00:23:57,-8.2578,-49.2647,86.38,28,10,4.56
264,Liverpool,GB,2021-09-20 00:23:57,53.4106,-2.9779,55.09,85,20,1.99
265,Iquitos,PE,2021-09-20 00:23:58,-3.7481,-73.2472,82.44,74,40,6.91
266,Baijiantan,CN,2021-09-20 00:23:58,45.6333,85.1833,73.11,16,79,31.21
267,Potsdam,DE,2021-09-20 00:23:58,52.3989,13.0657,54.72,77,72,4.7
268,Acarau,BR,2021-09-20 00:23:58,-2.8856,-40.12,78.66,77,100,16.89
269,Kodino,RU,2021-09-20 00:23:59,63.7198,39.6447,38.03,86,96,3.44
270,Harboore,DK,2021-09-20 00:23:59,56.6175,8.1807,53.1,66,100,9.42
271,Zhezkazgan,KZ,2021-09-20 00:23:59,47.8043,67.7144,43.29,43,8,5.99
272,Urumqi,CN,2021-09-20 00:22:04,43.801,87.6005,68.95,26,0,13.42
273,Krasnoarmeysk,RU,2021-09-20 00:23:59,51.0239,45.6969,49.3,47,100,13.13
274,Lagos,NG,2021-09-20 00:24:00,6.5833,3.75,79.12,93,77,3.44
275,Jumla,NP,2021-09-20 00:24:00,29.2747,82.1838,57.13,92,8,3.4
276,Moyo,UG,2021-09-20 00:24:00,3.6609,31.7247,65.55,96,62,0.92
277,Dwarka,IN,2021-09-20 00:24:00,22.2394,68.9678,81.37,82,17,11.77
278,Richards Bay,ZA,2021-09-20 00:24:01,-28.783,32.0377,65.17,70,68,17.58
279,Santa Maria,BR,2021-09-20 00:24:01,-29.6842,-53.8069,67.3,94,90,12.66
280,Opuwo,NA,2021-09-20 00:24:01,-18.0607,13.84,66.0,33,0,5.77
281,Kapiri Mposhi,ZM,2021-09-20 00:24:01,-13.9652,28.6809,61.45,65,0,4.81
282,San Cristobal,VE,2021-09-20 00:24:02,7.7669,-72.225,75.38,97,60,2.82
283,Borovichi,RU,2021-09-20 00:24:02,58.3878,33.9155,40.1,78,100,12.59
284,Antequera,ES,2021-09-20 00:24:02,37.0194,-4.5612,67.91,82,0,4.36
285,Beyneu,KZ,2021-09-20 00:24:02,45.3167,55.2,58.77,42,99,11.18
286,Brae,GB,2021-09-20 00:24:03,60.3964,-1.353,51.71,92,88,10.02
287,Keuruu,FI,2021-09-20 00:24:03,62.2667,24.7,42.98,62,100,6.46
288,Hobyo,SO,2021-09-20 00:24:03,5.3505,48.5268,76.96,82,66,23.47
289,Palmares Do Sul,BR,2021-09-20 00:24:04,-30.2578,-50.5097,67.96,93,86,17.22
290,Nunoa,PE,2021-09-20 00:24:04,-14.48,-70.6411,44.56,70,91,5.19
